Postal Code,Establishment Address,Address URL,Licence Number,Licensee Name,Business Name,Type of Food Business
048947,"86 MARKET STREET #02-19,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0219001&module=EHFE,MSH0219001,"LIM SIOW PONG, DESMOND (LIN SHAOPENG, DESMOND)",NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-26,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0326001&module=EHFE,MSH0326001,LU YUGUO,Yuguo curry rice,NEA Managed Foodstall
048947,"86 MARKET STREET #02-05,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0205001&module=EHFE,MSH0205001,WANG RONG,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-27,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0327001&module=EHFE,MSH0327001,HAN JOCK WAH IRENE,Min Hiang,NEA Managed Foodstall
048947,"86 MARKET STREET #01-01,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE23807B000&module=EHFE,CE23807B000,WECAFE PTE. LTD.,Matchaya,Snack Counter
048947,"86 MARKET STREET #03-19,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0319001&module=EHFE,MSH0319001,WANG KIM LOKE,Swirled,NEA Managed Foodstall
048947,"86 MARKET STREET #02-06,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0206001&module=EHFE,MSH0206001,WANG RUILIAN,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-09,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0209001&module=EHFE,MSH0209001,HAJAMUHAINUDDIN BIN MOHAMED HUSSEIN,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-14,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0314001&module=EHFE,MSH0314001,MOHAMED KASSIM BIN PAIKER MOHAMED,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-02,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0202001&module=EHFE,MSH0202001,TAY CHONG WEE,Deliasia,NEA Managed Foodstall
048947,"86 MARKET STREET #02-27,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0227001&module=EHFE,MSH0227001,SEOW AH KAY,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #03-16,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0316001&module=EHFE,MSH0316001,MOHAMED FATHI BIN OMAR,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-03,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0203001&module=EHFE,MSH0203001,LEE AIK LEE,Hock Gooi hainanese curry rice,NEA Managed Foodstall
048947,"86 MARKET STREET #01-03,CapitaSpring,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE22471X000&module=EHFE,CE22471X000,SALAD STOP PTE. LTD.,Saladstop,Snack Counter
048947,"86 MARKET STREET #02-12,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0212001&module=EHFE,MSH0212001,MOHAMED FATHURUDEEN BIN AHMAD,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #01-02,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE24F55A000&module=EHFE,CE24F55A000,HEY MEOW PTE. LTD.,WOW FISH,Small restaurant
048947,"86 MARKET STREET #03-22,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0322001&module=EHFE,MSH0322001,TAN GEOK HUAY,Market street nasi lemak,NEA Managed Foodstall
048947,"86 MARKET STREET #02-28,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0228001&module=EHFE,MSH0228001,FAIRPRICE GROUP HAWKER CENTRE PTE LTD,NA,NEA Managed Foodstall
048947,"86 MARKET STREET #02-22,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0222001&module=EHFE,MSH0222001,TAY CHIN CHOW,Yummy Nonya Peranakan,NEA Managed Foodstall
048947,"86 MARKET STREET #03-24,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0324001&module=EHFE,MSH0324001,WANG GUOLAN,Wang GuoLan,NEA Managed Foodstall
048947,"86 MARKET STREET #02-11,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0211001&module=EHFE,MSH0211001,MANISAH BINTE SELAMAT,Selera Bonda,NEA Managed Foodstall
048947,"86 MARKET STREET #03-21,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0321001&module=EHFE,MSH0321001,"XUE, XIEXING",LorMee,NEA Managed Foodstall
048947,"86 MARKET STREET #01-K1,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=CE21S62B000&module=EHFE,CE21S62B000,PIETEA INTERNATIONAL PTE. LTD.,PIETEA,Takeaway
048947,"86 MARKET STREET #03-20,CAPITASPRING,Singapore 048947",https://www.sfa.gov.sg/tools-and-resources/track-records?licRefNo=MSH0320001&module=EHFE,MSH0320001,TAN MUI TIANG,NA,NEA Managed Foodstall
