Name,Street,Block,Building,PostalCode,Description,PhotoURL,Latitude,Longitude
Market Street Hawker Centre,Market Street,50,CapitaSpring,48947,"A modern hawker hub in the heart of the city, serving a mix of traditional and contemporary delights.",https://danielfooddiary.com/wp-content/uploads/2022/04/marketstreet9.jpg,1.28442485,103.8501646
Marsiling Mall Hawker Centre,Woodlands Street 12,4,Marsiling Mall,738623,A spacious food centre offering a variety of local favourites for the Marsiling community.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,1.433538857,103.7797849
Margaret Drive Hawker Centre,Margaret Drive,38A,,142038,A cozy and clean hawker centre known for nostalgic flavours and friendly hawkers.,https://sethlui.com/wp-content/uploads/2022/10/marg3.jpeg,1.297485671,103.8047152
Fernvale Hawker Centre & Market,Sengkang West Avenue,21,"Fernvale Community Club, Hawker Centre & Market",797650,A bright and family-friendly market offering both fresh produce and tasty hawker food.,https://live.staticflickr.com/65535/52393392742_ffc215e518_k.jpg,1.391592327,103.8770605
One Punggol Hawker Centre,Punggol Drive,1,One Punggol,828629,A vibrant new-generation hawker centre bringing together local heritage and modern comforts.,https://www.littledayout.com/wp-content/uploads/16-one-punggol-hawker-centre.jpg,1.408189969,103.9048057
Bukit Canberra Hawker Centre,Canberra Link,21,Bukit Canberra,756973,A community-focused hawker space surrounded by lush greenery and sports facilities.,https://s.yimg.com/ny/api/res/1.2/Qy_iGBdQs3Wq1C8gLbcsZQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyNDI7aD04Mjg7Y2Y9d2VicA--/https://media.zenfs.com/en/straits_times_442/4451ad825fd913ed8ef6d37976fb744d,1.449016742,103.822485
Senja Hawker Centre,Senja Close,2,,677632,A cheerful neighbourhood hawker centre with a diverse mix of cuisines and affordable meals.,https://media.timeout.com/images/105959998/image.jpg,1.387135731,103.7610178
Buangkok Hawker Centre,Compassvale Bow,72,Sengkang Grand Mall,544692,A lively new hawker spot offering both local and fusion options for Buangkok residents.,https://eatbook.sg/wp-content/uploads/2023/12/buangkok-hawker-centre-view.jpg,1.382387558,103.8924032
Bukit Batok West Hawker Centre,Bukit Batok West Avenue 9,469A,Harmony Village,651469,A bustling West-side hawker hub where hearty local meals meet friendly neighbourhood vibes.,https://danielfooddiary.com/wp-content/uploads/2025/04/btbatokwest25.jpg,1.355214571,103.7418258
Telok Blangah Hawker Centre & Market,Telok Blangah Drive,78C,Telok Blangah Beacon,103078,A traditional market and food centre loved for its local dishes and sea breeze atmosphere.,https://danielfooddiary.com/wp-content/uploads/2024/07/telokblangahcrescent5.jpg,1.27324864,103.8080787
Bedok North Street 3 Blk 538,Bedok North Street 3,538,,460538,A humble hawker centre known for warm service and comforting local dishes.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,1.331781251,103.9248442
Bedok North Street 4 Blk 85 (85 Fengshan Centre),Bedok North Street 4,85,,460085,A popular East-side hawker centre famous for its BBQ seafood and late-night dining.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,1.331987069,103.9387326
Adam Road Food Centre,Adam Road,2,,289876,A historic hawker hub offering top-tier nasi lemak and other Malay delights.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,1.324134223,103.814165
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Aljunied Ave 2,117,,380117,A community hawker centre with hearty traditional fare in a relaxed setting.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154437879.jpg,1.320648292,103.887019
Amoy Street Food Centre (Telok Ayer Food Centre),Telok Ayer Street,,National Development Building,69111,A legendary CBD hawker centre famed for local classics and lunch-hour buzz.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265968760190.jpg,1.279218443,103.8466068
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Ang Mo Kio Ave 1,226D,,564226,A friendly neighbourhood market offering authentic Singaporean flavours.,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,1.366787645,103.8392313
